Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality
SM,235560,Contig_4502.fasta,0.018417609413843385,1.2123318945815668e-05,0.5
SM,235560,Contig_543519.fasta,0.017074643637638692,1.0683767024584058e-05,0.5
SM,235560,Contig_544009.fasta,0.014453388928369237,7.364347424950162e-06,0.49855002416626387
SM,235560,Contig_3057.fasta,0.01712183123921813,1.0657418969728971e-05,0.49927395934172314
SM,235560,Contig_553809.fasta,0.015769839086312756,8.960885877828602e-06,0.49951573849878933
SM,235560,Contig_132325.fasta,0.015894735748103687,8.954856931076775e-06,0.49951573849878933
SM,235560,Contig_369951.fasta,0.01729260383115881,1.0442135424099138e-05,0.4997577519379845
SM,235560,Contig_61901.fasta,0.010626954559170109,3.730166931228769e-06,0.49448705656759345
SM,235560,Contig_369157.fasta,0.011939997720980158,4.906256471682921e-06,0.49710843373493974
SM,235560,Contig_61944.fasta,0.014515716854611676,7.3976026288821e-06,0.49855002416626387
SM,235560,Contig_53508.fasta,0.018368520978363875,1.2237932102964293e-05,0.5002424830261881
SM,235560,Contig_368951.fasta,0.014527835476428747,7.289564421304258e-06,0.49879110251450676
SM,235560,Contig_303193.fasta,0.014441729898542446,7.39339724316791e-06,0.49903241412675375
SM,235560,Contig_1062799.fasta,0.011883246658806846,4.975945503224133e-06,0.496868978805395
SM,235560,Contig_932596.fasta,0.015936776171110792,8.882523142509307e-06,0.49927395934172314
SM,235560,Contig_133360.fasta,0.0132253384709474,5.997548498487623e-06,0.49782818532818535
SM,235560,Contig_371588.fasta,0.013178682647125253,6.0434292402753355e-06,0.49855002416626387
SM,235560,Contig_990113.fasta,0.01713347564991049,1.0658051094747914e-05,0.5
SM,235560,Contig_371159.fasta,0.013196265408025258,6.147062394536901e-06,0.49830917874396136
SM,235560,Contig_132515.fasta,0.021211829214216237,1.610661561897741e-05,0.5007281553398059
SM,235560,Contig_708360.fasta,0.019833144057444112,1.41103686055838e-05,0.5002424830261881
SM,235560,Contig_794445.fasta,0.01185911548622954,4.821051976840721e-06,0.4961519961519962
SM,235560,Contig_310512.fasta,0.01719572481329075,1.0466812856738096e-05,0.4997577519379845
SM,235560,Contig_200936.fasta,0.009406561686027307,2.773172191577058e-06,0.49048977650974795
SM,235560,Contig_309369.fasta,0.019886573393516054,1.4231885407693479e-05,0.5004852013585638
SM,235560,Contig_131663.fasta,0.022561188849540618,1.8046296543881244e-05,0.5009713453132588
SM,235560,Contig_133515.fasta,0.01456333163627059,7.355290855516905e-06,0.49855002416626387
SM,235560,Contig_57236.fasta,0.015880431552302697,8.943502523210997e-06,0.49951573849878933
